wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Timur;Duren Sawit;Duren Sawit;Buaran;Jalan I Gusti Ngurah Rai
Jakarta Timur;Duren Sawit;Duren Sawit;Simpang Buaran;Jalan I Gusti Ngurah Rai
Jakarta Pusat;Gambir;Gambir;Harmoni;Jalan Hayam Wuruk
Jakarta Pusat;Gambir;Gambir;Pecenongan;Jalan Insinyur Haji Juanda
Jakarta Pusat;Gambir;Gambir;Petojo;Jalan Suryopranoto
Jakarta Pusat;Gambir;Gambir;Kebon Sirih Arah Utara;Jalan Mohammad Husni Thamrin
Jakarta Pusat;Gambir;Gambir;Monumen Nasional;Jalan Medan Merdeka Barat
Jakarta Pusat;Gambir;Gambir;Tarakan;Jalan Kyai Caringin
Jakarta Pusat;Gambir;Gambir;Transjakarta Tanah Abang 2;Jalan Jatibaru Raya
Jakarta Pusat;Gambir;Gambir;Balai Kota;Jalan Medan Merdeka Selatan
Jakarta Pusat;Gambir;Gambir;Gambir;Jalan Medan Merdeka Timur
Jakarta Pusat;Gambir;Gambir;Gambir 2;Jalan Medan Merdeka Selatan
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Grogol;Jalan Kyai Tapa
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Grogol Reformasi;Jalan S Parman
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Jelambar;Jalan Daan Mogot
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Kali Grogol Arah Utara;Jalan Prof. Dr. Latumenten
Jakarta Barat;Palmerah;Grogol Petamburan;Tomang Raya;Jalan Tomang Raya
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Kali Grogol Arah Selatan;Jalan Latu Menten
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Roxy;Jalan Kyai Tapa
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Tanjung Duren Arah Barat;Jalan Letnan Jenderal S. Parman
Jakarta Barat;Grogol Petamburan;Grogol Petamburan;Tanjung Duren Arah Timur;Jalan Letnan Jenderal S. Parman
Jakarta Timur;Jatinegara;Jatinegara;Flyover Cipinang;Jalan Haji Darip
Jakarta Timur;Jatinegara;Jatinegara;Jatinegara;Jalan Jatinegara Timur
Jakarta Timur;Jatinegara;Jatinegara;Kampung Melayu;Jalan Jenderal Basuki Rahmat
Jakarta Timur;Jatinegara;Jatinegara;Matraman Baru;Jalan Matraman
Jakarta Timur;Jatinegara;Jatinegara;Pasar Enjo;Jalan Haji Darip
Jakarta Timur;Jatinegara;Jatinegara;Bali Mester;Jalan Jatinegara Timur
Jakarta Timur;Jatinegara;Jatinegara;Pedati Prumpung;Jalan DI Panjaitan
Jakarta Timur;Jatinegara;Jatinegara;Halim;Jalan DI Panjaitan
Jakarta Timur;Jatinegara;Jatinegara;Stasiun Jatinegara;Jalan Bekasi Barat Raya
